dma,team,Month,nba games watched unweighted,nba tv shows watched unweighted,nba games watched - unique users unweighted,nba tv shows watched - unique users unweighted,nba games watched,nba tv shows watched,nba games watched - unique users,nba tv shows watched - unique users,num_users,weighted_num_users
560,Charlotte Hornets,2022-10-01,21370,28132,2406,2713,22791.0153941345,30001.8141870494,2566.00945643622,2893.18046868578,23744,25250.821353890235
561,Orlando Magic,2021-04-01,13720,17150,1675,1825,11839.2016303075,14799.3779557321,1442.96824444644,1573.86456680344,17726,15178.435238245065
561,Orlando Magic,2021-05-01,31139,37092,2468,2681,28130.0248651808,33501.119522143,2230.34682718679,2422.72377297818,17528,15788.395345745275
561,Orlando Magic,2021-06-01,41943,51208,2767,2903,38352.4682477609,46826.8977768923,2530.43513722962,2654.87624741654,17406,15944.182413036298
561,Orlando Magic,2021-07-01,14189,18948,2261,2588,13115.6239435338,17516.9984090776,2090.57623679751,2393.93976261906,17508,16240.989589523875
561,Orlando Magic,2021-08-01,1742,1975,427,453,1625.11156862795,1842.60069861411,398.371451972149,422.66177310263,17098,15982.778470286572
561,Orlando Magic,2021-09-01,73,371,35,109,68.4793918882675,348.017594790035,32.8280954719058,102.242813884394,17011,15976.636307483976
561,Orlando Magic,2021-10-01,7123,10067,1116,1306,6696.49038213511,9464.48905551568,1049.15106823923,1227.76626430966,17093,16078.175250496022
561,Orlando Magic,2021-11-01,10452,14877,1646,1933,9849.53703073584,14020.4511455618,1550.38443239602,1820.89677661256,16945,15992.930956113074
561,Orlando Magic,2021-12-01,11997,16989,1773,2057,11192.3116536479,15849.1615903948,1654.13954675918,1919.02553018793,17151,16029.367908155418
561,Orlando Magic,2022-01-01,12235,17353,1518,1820,11367.6189006852,16122.7668644772,1410.35932851416,1690.92032142826,17108,15919.349137484323
561,Orlando Magic,2022-02-01,12710,18251,1703,1988,11844.0547707389,17007.5580413081,1587.07523373114,1852.61560467097,16530,15425.211090413051
561,Orlando Magic,2022-03-01,13342,18140,1632,1886,12507.1731281866,17005.4353353906,1529.73231853261,1767.83455686685,16627,15614.318454310362
